name,prompt,negative_prompt
Charming Polka Dot Elegance,"Charming Polka Dot Elegance, designing {prompt} with playful polka dot patterns, emphasizing retro charm, simplicity, and the timeless appeal of polka dot saree fashion","charming polka dot elegance with poor representation of playful patterns, lack of emphasis on retro charm, unimpressive capture of simplicity, uninspired polka dot saree design"
Bold Striped Statements,"Bold Striped Statements, designing {prompt} with striking striped patterns, emphasizing bold lines, contemporary designs, and the timeless versatility of striped saree fashion","bold striped statements with poor representation of striking patterns, lack of emphasis on bold lines, unimpressive capture of contemporary designs, uninspired striped saree design"
Ethereal Lace Embellishments,"Ethereal Lace Embellishments, designing {prompt} with delicate lace embellishments, emphasizing the ethereal beauty, intricate details, and timeless elegance of lace-adorned sarees","ethereal lace embellishments with poor representation of delicate lace, lack of emphasis on ethereal beauty, unimpressive capture of intricate details, uninspired lace saree design"
Contemporary Ikat Patterns,"Contemporary Ikat Patterns, designing {prompt} with modern interpretations of Ikat patterns, emphasizing vibrant colors, geometric shapes, and the fusion of traditional and contemporary elements in saree fashion","contemporary Ikat patterns with poor representation of modern interpretations, lack of emphasis on vibrant colors, unimpressive capture of geometric shapes, uninspired Ikat saree design"
Elegant Evening Affair,"Elegant Evening Affair, designing {prompt} for a sophisticated and formal evening event, emphasizing sleek lines, refined silhouettes, and luxurious fabrics","elegant evening affair with poor representation of sophisticated design, lack of emphasis on sleek lines, unimpressive capture of refined silhouettes, uninspired evening sheath dress design"
Casual Chic Comfort,"Casual Chic Comfort, designing {prompt} for a comfortable yet stylish casual look, emphasizing relaxed silhouettes, versatile fabrics, and fashionable details in sheath dress fashion","casual chic comfort with poor representation of stylish casual design, lack of emphasis on relaxed silhouettes, unimpressive capture of versatile fabrics, uninspired casual sheath dress design"
Professional Power Dressing,"Professional Power Dressing, designing {prompt} for a powerful and polished office look, emphasizing tailored structures, clean lines, and sophisticated details in sheath dress fashion","professional power dressing with poor representation of powerful design, lack of emphasis on tailored structures, unimpressive capture of clean lines, uninspired professional sheath dress design"
Bold Patterns and Prints,"Bold Patterns and Prints, designing {prompt} with eye-catching patterns or prints, emphasizing vibrant colors, unique motifs, and a playful approach to sheath dress fashion","bold patterns and prints with poor representation of eye-catching design, lack of emphasis on vibrant colors, unimpressive capture of unique motifs, uninspired patterned sheath dress design"
Feminine Floral Delight,"Feminine Floral Delight, designing {prompt} with delicate floral patterns, emphasizing soft hues, intricate detailing, and a romantic touch in sheath dress fashion","feminine floral delight with poor representation of delicate floral design, lack of emphasis on soft hues, unimpressive capture of intricate detailing, uninspired floral sheath dress design"
Edgy Leather Accents,"Edgy Leather Accents, designing {prompt} with edgy leather details, emphasizing modern silhouettes, bold textures, and a rebellious touch in sheath dress fashion","edgy leather accents with poor representation of edgy design, lack of emphasis on modern silhouettes, unimpressive capture of bold textures, uninspired leather sheath dress design"
Bohemian Rhapsody,"Bohemian Rhapsody, designing {prompt} with a boho-chic aesthetic, emphasizing relaxed silhouettes, free-spirited details, and a carefree approach to sheath dress fashion","bohemian rhapsody with poor representation of boho-chic design, lack of emphasis on relaxed silhouettes, unimpressive capture of free-spirited details, uninspired bohemian sheath dress design"
Timeless Monochrome Elegance,"Timeless Monochrome Elegance, designing {prompt} with a classic monochromatic color scheme, emphasizing clean lines, subtle textures, and timeless sophistication in sheath dress fashion","timeless monochrome elegance with poor representation of classic design, lack of emphasis on clean lines, unimpressive capture of subtle textures, uninspired monochrome sheath dress design"
Tropical Vacation Vibes,"Tropical Vacation Vibes, designing {prompt} for a resort or beach vacation, emphasizing bright colors, breezy fabrics, and playful details in sheath dress fashion","tropical vacation vibes with poor representation of resort design, lack of emphasis on bright colors, unimpressive capture of breezy fabrics, uninspired vacation sheath dress design"
Dazzling Sequin Glam,"Dazzling Sequin Glam, designing {prompt} with glamorous sequin embellishments, emphasizing a touch of sparkle, chic silhouettes, and a red-carpet-worthy approach to sheath dress fashion","dazzling sequin glam with poor representation of glamorous design, lack of emphasis on sparkle, unimpressive capture of chic silhouettes, uninspired sequin sheath dress design"
Athleisure Inspired Comfort,"Athleisure Inspired Comfort, designing {prompt} with sporty and comfortable details, emphasizing athleisure influences, casual silhouettes, and a trendy approach to sheath dress fashion","athleisure inspired comfort with poor representation of sporty design, lack of emphasis on casual silhouettes, unimpressive capture of trendy details, uninspired athleisure sheath dress design"
Vintage Charm,"Vintage Charm, designing {prompt} with retro-inspired details, emphasizing nostalgic silhouettes, classic patterns, and a timeless appeal in sheath dress fashion","vintage charm with poor representation of retro design, lack of emphasis on nostalgic silhouettes, unimpressive capture of classic patterns, uninspired vintage sheath dress design"
